Position,Track_Name,Artist,Streams,URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
141,Make No Sense,YoungBoy Never Broke Again,245890,6klLvorLoo1sxvZcjJIY8I,0.876,0.733,-4.478,0.333,0.0208,0,0.0999,0.962,154.904,148630
142,Secret (feat. Summer Walker),21 Savage,245412,67lKDoCZbRCJDa4RT68eme,0.727,0.496,-10.386,0.178,0.0893,0.00011,0.0987,0.504,130.061,210462
143,SICKO MODE,Travis Scott,244877,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,-3.714,0.222,0.00513,0,0.124,0.446,155.008,312820
144,The Less I Know The Better,Tame Impala,243717,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320
145,No Guidance (feat. Drake),Chris Brown,243273,6XHVuErjQ4XNm6nDPVCxVX,0.698,0.454,-6.756,0.151,0.123,0,0.155,0.137,92.932,260640
146,DND,Polo G,241635,7sMu0DXeCVYwTivw9kBl99,0.778,0.786,-4.61,0.358,0.129,0,0.118,0.241,159.954,180058
147,Camelot,NLE Choppa,238281,4sWuPniHClkInYAnzXAYUF,0.787,0.713,-5.252,0.401,0.0849,0,0.717,0.762,175.041,148759
148,Fuck Love (feat. Trippie Redd),XXXTENTACION,237671,7AQim7LbvFVZJE3O8TYgf2,0.797,0.533,-9.74,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520
149,Hate Me (with Juice WRLD),Ellie Goulding,237244,6kls8cSlUyHW2BUOkDJIZE,0.657,0.768,-4.628,0.0507,0.108,0,0.144,0.759,75.025,186223
150,Baby (Lil Baby feat. DaBaby),Quality Control,237171,5MPPttjfGap2C6j6eKcO6J,0.97,0.463,-7.259,0.366,0.0957,0,0.151,0.46,108.003,142417
151,Save Your Tears,The Weeknd,236028,5QO79kh1waicV47BqGRL3g,0.68,0.826,-5.487,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,215627
152,Señorita,Shawn Mendes,235625,6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,-6.049,0.029,0.0392,0,0.0828,0.749,116.967,190800
153,Going Bad (feat. Drake),Meek Mill,233331,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,-6.365,0.0905,0.259,0,0.252,0.544,86.003,180522
154,When It Rains It Pours,Luke Combs,233076,1mMLMZYXkMueg65jRRWG1l,0.551,0.801,-5.069,0.0303,0.013,6.03E-06,0.265,0.625,128.027,240760
155,La Difícil,Bad Bunny,232813,6NfrH0ANGmgBXyxgV2PeXt,0.685,0.848,-4.561,0.0858,0.0861,7.14E-06,0.0783,0.761,179.87,163084
156,Commercial (feat. Lil Uzi Vert),Lil Baby,232497,3tDqEKKUs6gf8zMvSuLyLA,0.892,0.486,-8.637,0.384,0.048,0,0.146,0.535,120.998,214215
157,Run,Joji,229681,6p8eEdiZLKJH8tcjGZuNTK,0.447,0.72,-3.954,0.0332,0.0416,0.000297,0.614,0.362,157.892,195000
158,Fade Away,The Kid LAROI,228004,32ypPhtgTaETvFn3ZIHXTW,0.726,0.414,-12.296,0.269,0.406,0,0.0713,0.47,150.009,179252
159,goosebumps,Travis Scott,227820,6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,-3.37,0.0484,0.0847,0,0.149,0.43,130.049,243837
