Position,Track_Name,Artist,Streams,URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
60,everything i wanted,Billie Eilish,395107,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,245426
61,If the World Was Ending - feat. Julia Michaels,JP Saxe,384163,2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,-10.086,0.129,0.866,0,0.109,0.604,75.801,208687
62,Woah,Lil Baby,381392,02RCbjb9czvQKNGBmEmWob,0.883,0.599,-5.551,0.248,0.0177,0,0.179,0.413,142.976,183011
63,Heart On Ice,Rod Wave,370013,6fWa5CRgy0z30OeGZyMBvD,0.733,0.389,-8.468,0.0738,0.0513,0,0.141,0.244,157.878,159670
64,CITY OF ANGELS,24kGoldn,364322,6ap9lSRJ0iLriGLqoJ44cq,0.686,0.541,-4.993,0.0493,0.042,0,0.0675,0.724,120.084,112493
65,Safaera,Bad Bunny,360681,2DEZmgHKAvm41k4J3R2E9Y,0.607,0.829,-4.074,0.379,0.0103,0,0.107,0.685,96.172,295177
66,Robbery,Juice WRLD,355403,6Hj9jySrnFppAI0sEMCZpJ,0.685,0.692,-5.122,0.0457,0.328,0,0.153,0.578,159.966,240051
67,Heartless,The Weeknd,355316,6bnF93Rx87YqUBLSgjiMU8,0.537,0.746,-5.507,0.15,0.0236,1.01E-06,0.156,0.252,170.062,198267
68,Go Stupid,Polo G,348461,74fV8TuLZKVzSIOOGu8wwI,0.92,0.833,-3.18,0.253,0.0277,0,0.0596,0.645,141.033,165726
69,OUT WEST (feat. Young Thug),JACKBOYS,347070,6gi6y1xwmVszDWkUqab1qw,0.802,0.591,-4.895,0.225,0.0104,0,0.196,0.309,139.864,157712
70,Selfish,Madison Beer,339290,4PV0uE5pZSh44E3NqNNDEH,0.378,0.461,-6.202,0.0275,0.627,0,0.386,0.232,75.363,223270
71,Suicidal,YNW Melly,339102,1iSqfoUFnQwV0QW1EfUit8,0.735,0.369,-9.682,0.0688,0.334,0,0.126,0.235,140.004,222997
72,bad guy,Billie Eilish,333893,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,194088
73,Lo Mein,Lil Uzi Vert,333770,6CUP2khYzdphXebxVTfPE3,0.855,0.676,-5.736,0.325,0.0888,0,0.144,0.509,133.081,195299
74,AMAZING GRACE,DaBaby,330938,2ulB68v8LGCfQMk0giZZ5S,0.779,0.818,-3.619,0.288,0.0276,0,0.177,0.961,153.585,88667
75,"10,000 Hours (with Justin Bieber)",Dan + Shay,328168,2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,-4.644,0.0259,0.153,0,0.111,0.43,89.991,167693
76,All Girls Are The Same,Juice WRLD,327340,4VXIryQMWpIdGgYR4TrjT1,0.671,0.529,-7.226,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820
77,Out Of Love (feat. Internet Money),Lil Tecca,322436,7rTzrRdc5UbvLr0gwI1J3E,0.732,0.65,-6.239,0.0487,0.0962,0,0.184,0.392,137.985,153597
78,After Hours,The Weeknd,321300,2p8IUWQDrpjuFltbdgLOag,0.664,0.572,-6.099,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027
79,HIGHEST IN THE ROOM,Travis Scott,319808,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,-8.764,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721
80,Money In The Grave (Drake ft. Rick Ross),Drake,319328,5ry2OE6R2zPQFDO85XkgRb,0.831,0.502,-4.045,0.046,0.101,0,0.122,0.101,100.541,205427
81,I Want You To Love Me,Fiona Apple,318731,73SBAGI4fPFm4VkB3NjXq8,0.528,0.504,-8.821,0.09,0.559,0.0414,0.0936,0.712,141.369,237713
82,Boyfriend,Selena Gomez,318299,4QnC1bIaMSfDQvF4XDhV5M,0.811,0.512,-6.381,0.17,0.218,0.0262,0.0768,0.346,92.046,161188
83,Whiskey Glasses,Morgan Wallen,318131,6foY66mWZN0pSRjZ408c00,0.614,0.68,-4.58,0.0289,0.369,1.84E-06,0.115,0.707,149.959,234347
84,One Man Band,Old Dominion,315965,08dFHFTx6r67MTsYn5ilDR,0.706,0.358,-8.331,0.0348,0.677,0,0.107,0.478,75.991,186240
85,lovely (with Khalid),Billie Eilish,315289,0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,-10.109,0.0333,0.934,0,0.095,0.12,115.284,200186
86,Skechers,DripReport,314194,2alc8VZAzDgdAsL2QMk3hu,0.903,0.327,-9.727,0.0877,0.26,0.011,0.108,0.274,100.008,106000
87,My Oh My (feat. DaBaby),Camila Cabello,312520,3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,-6.024,0.0296,0.018,1.29E-05,0.0887,0.383,105.046,170746
88,Chasin' You,Morgan Wallen,308821,5MwynWK9s4hlyKHqhkNn4A,0.631,0.591,-5.785,0.0277,0.657,0,0.11,0.489,97.074,205453
89,Beautiful Crazy,Luke Combs,308559,2rxQMGVafnNaRaXlRMWPde,0.552,0.402,-7.431,0.0262,0.676,0,0.0928,0.382,103.313,193200
90,Suge,DaBaby,307437,2gwkD6igEhQbDQegRCcdoB,0.876,0.662,-6.482,0.426,0.0608,0,0.127,0.844,75.445,163320
91,Sum 2 Prove,Lil Baby,306490,5f4Hy5mw5SRaUgXX9c6P5S,0.827,0.552,-7.571,0.274,0.0169,0,0.122,0.408,124.011,205760
92,Ransom,Lil Tecca,305356,1lOe9qE0vR9zwWQAOk6CoO,0.745,0.642,-6.257,0.287,0.0204,0,0.0658,0.226,179.974,131240
93,BELIEVE IT,PARTYNEXTDOOR,305109,4HDCLYli2SUdkq9OjmvhSD,0.43,0.7,-5.35,0.264,0.0902,0,0.216,0.731,158.373,183219
94,Emotionally Scarred,Lil Baby,302591,7ge7BHazYbVKi8qyZUX1Bm,0.585,0.641,-4.269,0.133,0.0286,0,0.316,0.266,88.284,197530
95,SLOW DANCING IN THE DARK,Joji,300509,0rKtyWc8bvkriBthvHKY8d,0.515,0.479,-7.458,0.0261,0.544,0.00598,0.191,0.284,88.964,209274
96,Before You Go,Lewis Capaldi,300432,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,-4.858,0.0573,0.604,0,0.0885,0.183,111.881,215107
97,Jocelyn Flores,XXXTENTACION,300259,7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,-9.144,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133
98,You should be sad,Halsey,298274,7lidXGPXPYLNThITAOTlkK,0.591,0.585,-6.35,0.0277,0.143,0,0.109,0.324,110.94,205473
99,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,293097,2fOlBMkWR7lXJfqp5VTbDG,0.879,0.448,-8.57,0.221,0.0341,0,0.224,0.279,136.988,198913
100,Memories,Maroon 5,292488,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,-7.209,0.0546,0.837,0,0.0822,0.575,91.019,189486
101,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,291873,2FvD20Z8aoWIePi7PoN8sG,0.816,0.582,-4.141,0.341,0.0794,5.84E-06,0.0916,0.542,160.004,136366
102,ily (i love you baby) (feat. Emilee),Surf Mesa,288556,62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547
103,VIBEZ,DaBaby,288526,0fySG6A6qLE8IvDpayb5bM,0.768,0.652,-2.708,0.307,0.113,0,0.107,0.777,154.187,144935
104,when the party's over,Billie Eilish,285675,43zdsphuZLzwA9k4DJhU0I,0.367,0.111,-14.084,0.0972,0.978,3.97E-05,0.0897,0.198,82.642,196077
