Position,"Track Name",Artist,Streams,URL
56,"OUT WEST (feat. Young Thug)",JACKBOYS,357753,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
57,"Before You Go","Lewis Capaldi",357213,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
58,"Heart On Ice","Rod Wave",353272,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
59,"All Girls Are The Same","Juice WRLD",349283,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
60,"ily (i love you baby) (feat. Emilee)","Surf Mesa",343265,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
61,"Level of Concern","Twenty One Pilots",342231,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
62,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",341462,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
63,"10,000 Hours (with Justin Bieber)","Dan + Shay",340261,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
64,"CITY OF ANGELS",24kGoldn,336658,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
65,Heartless,"The Weeknd",332980,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
66,"bad guy","Billie Eilish",332691,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
67,"lovely (with Khalid)","Billie Eilish",332469,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
68,"Go Stupid","Polo G",327002,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
69,Safaera,"Bad Bunny",316448,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
70,"BUTTERFLY EFFECT","Travis Scott",314672,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
71,Suicidal,"YNW Melly",313954,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
72,"You should be sad",Halsey,312338,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
73,"Money In The Grave (Drake ft. Rick Ross)",Drake,312278,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
74,"Jocelyn Flores",XXXTENTACION,307818,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
75,Ransom,"Lil Tecca",306547,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
